,qnat,evap,conversor
0,3777,12,2.6784
1,5450,7,2.4192
2,11227,9,2.6784
3,6332,3,2.592
4,3065,15,2.6784
5,2049,42,2.592
6,1484,66,2.6784
7,1097,78,2.6784
8,980,79,2.592
9,1422,48,2.6784
10,2551,26,2.592
11,2692,30,2.6784
12,3837,12,2.6784
13,5105,7,2.5056
14,3706,9,2.6784
15,1907,3,2.592
16,1035,15,2.6784
17,666,42,2.592
18,488,66,2.6784
19,348,78,2.6784
20,537,79,2.592
21,991,48,2.6784
22,1706,26,2.592
23,2536,30,2.6784
24,3969,12,2.6784
25,4187,7,2.4192
26,3753,9,2.6784
27,3375,3,2.592
28,1291,15,2.6784
29,793,42,2.592
30,570,66,2.6784
31,417,78,2.6784
32,436,79,2.592
33,674,48,2.6784
34,2399,26,2.592
35,4907,30,2.6784
36,5240,12,2.6784
37,5589,7,2.4192
38,4985,9,2.6784
39,3420,3,2.592
40,1415,15,2.6784
41,808,42,2.592
42,573,66,2.6784
43,411,78,2.6784
44,551,79,2.592
45,449,48,2.6784
46,1420,26,2.592
47,2771,30,2.6784
48,5261,12,2.6784
49,7937,7,2.4192
50,8767,9,2.6784
51,8242,3,2.592
52,4181,15,2.6784
53,2109,42,2.592
54,1494,66,2.6784
55,1118,78,2.6784
56,914,79,2.592
57,1242,48,2.6784
58,2222,26,2.592
59,3360,30,2.6784
60,2876,12,2.6784
61,4820,7,2.5056
62,5636,9,2.6784
63,5051,3,2.592
64,2201,15,2.6784
65,1190,42,2.592
66,851,66,2.6784
67,649,78,2.6784
68,600,79,2.592
69,750,48,2.6784
70,1408,26,2.592
71,2218,30,2.6784
72,2767,12,2.6784
73,3401,7,2.4192
74,3590,9,2.6784
75,2756,3,2.592
76,1450,15,2.6784
77,719,42,2.592
78,487,66,2.6784
79,368,78,2.6784
80,286,79,2.592
81,1084,48,2.6784
82,2667,26,2.592
83,5912,30,2.6784
84,5375,12,2.6784
85,4479,7,2.4192
86,3660,9,2.6784
87,2516,3,2.592
88,1145,15,2.6784
89,730,42,2.592
90,523,66,2.6784
91,386,78,2.6784
92,356,79,2.592
93,591,48,2.6784
94,905,26,2.592
95,2168,30,2.6784
96,4118,12,2.6784
97,4440,7,2.4192
98,3192,9,2.6784
99,2085,3,2.592
100,1016,15,2.6784
101,627,42,2.592
102,559,66,2.6784
103,335,78,2.6784
104,583,79,2.592
105,1417,48,2.6784
106,2257,26,2.592
107,2203,30,2.6784
108,4393,12,2.6784
109,9582,7,2.5056
110,12273,9,2.6784
111,5721,3,2.592
112,3029,15,2.6784
113,2019,42,2.592
114,1426,66,2.6784
115,1087,78,2.6784
116,1131,79,2.592
117,1257,48,2.6784
118,2513,26,2.592
119,3640,30,2.6784
120,3848,12,2.6784
121,4268,7,2.4192
122,4885,9,2.6784
123,4394,3,2.592
124,1598,15,2.6784
125,987,42,2.592
126,766,66,2.6784
127,536,78,2.6784
128,557,79,2.592
129,1401,48,2.6784
130,2118,26,2.592
131,2752,30,2.6784
132,3698,12,2.6784
133,6375,7,2.4192
134,4846,9,2.6784
135,3095,3,2.592
136,1360,15,2.6784
137,837,42,2.592
138,622,66,2.6784
139,439,78,2.6784
140,1080,79,2.592
141,1223,48,2.6784
142,2275,26,2.592
143,5331,30,2.6784
144,11869,12,2.6784
145,9984,7,2.4192
146,9387,9,2.6784
147,5916,3,2.592
148,2554,15,2.6784
149,1748,42,2.592
150,1269,66,2.6784
151,936,78,2.6784
152,844,79,2.592
153,1389,48,2.6784
154,2896,26,2.592
155,5504,30,2.6784
156,4414,12,2.6784
157,5306,7,2.5056
158,4281,9,2.6784
159,3123,3,2.592
160,1325,15,2.6784
161,916,42,2.592
162,670,66,2.6784
163,503,78,2.6784
164,374,79,2.592
165,957,48,2.6784
166,1565,26,2.592
167,3858,30,2.6784
168,9084,12,2.6784
169,10585,7,2.4192
170,10458,9,2.6784
171,10014,3,2.592
172,6060,15,2.6784
173,2867,42,2.592
174,1934,66,2.6784
175,1462,78,2.6784
176,1201,79,2.592
177,2535,48,2.6784
178,4295,26,2.592
179,6862,30,2.6784
180,7247,12,2.6784
181,5429,7,2.4192
182,4755,9,2.6784
183,2854,3,2.592
184,1641,15,2.6784
185,924,42,2.592
186,641,66,2.6784
187,486,78,2.6784
188,533,79,2.592
189,540,48,2.6784
190,1603,26,2.592
191,1933,30,2.6784
192,3498,12,2.6784
193,5199,7,2.4192
194,10415,9,2.6784
195,6636,3,2.592
196,2929,15,2.6784
197,1908,42,2.592
198,1365,66,2.6784
199,1268,78,2.6784
200,956,79,2.592
201,1510,48,2.6784
202,2631,26,2.592
203,4654,30,2.6784
204,5033,12,2.6784
205,4258,7,2.5056
206,4968,9,2.6784
207,3311,3,2.592
208,1316,15,2.6784
209,918,42,2.592
210,674,66,2.6784
211,501,78,2.6784
212,544,79,2.592
213,729,48,2.6784
214,1643,26,2.592
215,7450,30,2.6784
216,6671,12,2.6784
217,8599,7,2.4192
218,5283,9,2.6784
219,3378,3,2.592
220,1704,15,2.6784
221,1005,42,2.592
222,713,66,2.6784
223,520,78,2.6784
224,411,79,2.592
225,611,48,2.6784
226,1298,26,2.592
227,2265,30,2.6784
228,2173,12,2.6784
229,2495,7,2.4192
230,4111,9,2.6784
231,3115,3,2.592
232,1444,15,2.6784
233,835,42,2.592
234,584,66,2.6784
235,455,78,2.6784
236,395,79,2.592
237,581,48,2.6784
238,1507,26,2.592
239,1980,30,2.6784
240,2417,12,2.6784
241,2131,7,2.4192
242,2754,9,2.6784
243,3142,3,2.592
244,1400,15,2.6784
245,896,42,2.592
246,623,66,2.6784
247,476,78,2.6784
248,413,79,2.592
249,427,48,2.6784
250,437,26,2.592
251,2017,30,2.6784
252,1756,12,2.6784
253,1893,7,2.5056
254,5480,9,2.6784
255,2856,3,2.592
256,1658,15,2.6784
257,870,42,2.592
258,583,66,2.6784
259,439,78,2.6784
260,416,79,2.592
261,383,48,2.6784
262,792,26,2.592
263,3158,30,2.6784
264,1971,12,2.6784
265,1573,7,2.4192
266,2257,9,2.6784
267,2022,3,2.592
268,910,15,2.6784
269,576,42,2.592
270,433,66,2.6784
271,356,78,2.6784
272,381,79,2.592
273,773,48,2.6784
274,1006,26,2.592
275,2835,30,2.6784
276,2629,12,2.6784
277,4313,7,2.4192
278,2216,9,2.6784
279,2536,3,2.592
280,1016,15,2.6784
281,598,42,2.592
282,451,66,2.6784
283,358,78,2.6784
284,317,79,2.592
285,285,48,2.6784
286,630,26,2.592
287,2539,30,2.6784
288,2651,12,2.6784
289,3057,7,2.4192
290,2338,9,2.6784
291,2796,3,2.592
292,948,15,2.6784
293,582,42,2.592
294,425,66,2.6784
295,339,78,2.6784
296,300,79,2.592
297,575,48,2.6784
298,1237,26,2.592
299,3722,30,2.6784
300,3926,12,2.6784
301,2174,7,2.5056
302,4637,9,2.6784
303,2749,3,2.592
304,1823,15,2.6784
305,984,42,2.592
306,664,66,2.6784
307,492,78,2.6784
308,394,79,2.592
309,462,48,2.6784
310,3091,26,2.592
311,5874,30,2.6784
312,7801,12,2.6784
313,6882,7,2.4192
314,9365,9,2.6784
315,7963,3,2.592
316,2553,15,2.6784
317,1484,42,2.592
318,1037,66,2.6784
319,715,78,2.6784
320,575,79,2.592
321,603,48,2.6784
322,995,26,2.592
323,2179,30,2.6784
324,3117,12,2.6784
325,7486,7,2.4192
326,5522,9,2.6784
327,5853,3,2.592
328,2658,15,2.6784
329,1348,42,2.592
330,930,66,2.6784
331,655,78,2.6784
332,582,79,2.592
333,684,48,2.6784
334,800,26,2.592
335,1655,30,2.6784
336,8899,12,2.6784
337,5189,7,2.4192
338,5116,9,2.6784
339,2630,3,2.592
340,1134,15,2.6784
341,793,42,2.592
342,558,66,2.6784
343,416,78,2.6784
344,339,79,2.592
345,450,48,2.6784
346,1085,26,2.592
347,982,30,2.6784
348,3693,12,2.6784
349,6168,7,2.5056
350,8064,9,2.6784
351,4701,3,2.592
352,2039,15,2.6784
353,1258,42,2.592
354,883,66,2.6784
355,643,78,2.6784
356,441,79,2.592
357,497,48,2.6784
358,1100,26,2.592
359,2998,30,2.6784
360,4693,12,2.6784
361,5923,7,2.4192
362,4334,9,2.6784
363,2112,3,2.592
364,1820,15,2.6784
365,922,42,2.592
366,624,66,2.6784
367,521,78,2.6784
368,432,79,2.592
369,470,48,2.6784
370,600,26,2.592
371,1304,30,2.6784
372,2312,12,2.6784
373,3323,7,2.4192
374,3784,9,2.6784
375,1953,3,2.592
376,1214,15,2.6784
377,741,42,2.592
378,562,66,2.6784
379,460,78,2.6784
380,409,79,2.592
381,649,48,2.6784
382,965,26,2.592
383,3098,30,2.6784
384,3362,12,2.6784
385,4079,7,2.4192
386,2427,9,2.6784
387,1539,3,2.592
388,1300,15,2.6784
389,730,42,2.592
390,558,66,2.6784
391,452,78,2.6784
392,398,79,2.592
393,369,48,2.6784
394,669,26,2.592
395,1083,30,2.6784
396,6247,12,2.6784
397,8082,7,2.5056
398,4142,9,2.6784
399,3230,3,2.592
400,1696,15,2.6784
401,1018,42,2.592
402,740,66,2.6784
403,570,78,2.6784
404,460,79,2.592
405,777,48,2.6784
406,2223,26,2.592
407,3549,30,2.6784
408,3374,12,2.6784
409,3551,7,2.4192
410,4614,9,2.6784
411,5501,3,2.592
412,2276,15,2.6784
413,1290,42,2.592
414,926,66,2.6784
415,689,78,2.6784
416,541,79,2.592
417,1171,48,2.6784
418,1929,26,2.592
419,3413,30,2.6784
420,3771,12,2.6784
421,8155,7,2.4192
422,6665,9,2.6784
423,4127,3,2.592
424,1974,15,2.6784
425,1269,42,2.592
426,926,66,2.6784
427,726,78,2.6784
428,624,79,2.592
429,870,48,2.6784
430,1070,26,2.592
431,2030,30,2.6784
432,2624,12,2.6784
433,4106,7,2.4192
434,3973,9,2.6784
435,3456,3,2.592
436,1806,15,2.6784
437,1071,42,2.592
438,780,66,2.6784
439,630,78,2.6784
440,570,79,2.592
441,597,48,2.6784
442,1607,26,2.592
443,2550,30,2.6784
444,2650,12,2.6784
445,4968,7,2.5056
446,8739,9,2.6784
447,3247,3,2.592
448,1819,15,2.6784
449,1175,42,2.592
450,875,66,2.6784
451,695,78,2.6784
452,635,79,2.592
453,736,48,2.6784
454,2620,26,2.592
455,5940,30,2.6784
456,3567,12,2.6784
457,5105,7,2.4192
458,5139,9,2.6784
459,2389,3,2.592
460,1920,15,2.6784
461,996,42,2.592
462,790,66,2.6784
463,625,78,2.6784
464,535,79,2.592
465,604,48,2.6784
466,1673,26,2.592
467,4523,30,2.6784
468,7720,12,2.6784
469,6145,7,2.4192
470,7286,9,2.6784
471,3438,3,2.592
472,1940,15,2.6784
473,1242,42,2.592
474,911,66,2.6784
475,706,78,2.6784
476,627,79,2.592
477,975,48,2.6784
478,1963,26,2.592
479,1721,30,2.6784
480,1392,12,2.6784
481,1641,7,2.4192
482,2258,9,2.6784
483,2687,3,2.592
484,1385,15,2.6784
485,838,42,2.592
486,600,66,2.6784
487,500,78,2.6784
488,463,79,2.592
489,790,48,2.6784
490,2752,26,2.592
491,4018,30,2.6784
492,2254,12,2.6784
493,2783,7,2.5056
494,3565,9,2.6784
495,2984,3,2.592
496,1335,15,2.6784
497,903,42,2.592
498,682,66,2.6784
499,565,78,2.6784
500,501,79,2.592
501,866,48,2.6784
502,1337,26,2.592
503,3924,30,2.6784
504,3604,12,2.6784
505,3282,7,2.4192
506,4358,9,2.6784
507,4565,3,2.592
508,2027,15,2.6784
509,1199,42,2.592
510,891,66,2.6784
511,665,78,2.6784
512,552,79,2.592
513,1408,48,2.6784
514,2412,26,2.592
515,4048,30,2.6784
516,3316,12,2.6784
517,4111,7,2.4192
518,7214,9,2.6784
519,6622,3,2.592
520,3681,15,2.6784
521,1778,42,2.592
522,1179,66,2.6784
523,881,78,2.6784
524,705,79,2.592
525,958,48,2.6784
526,1660,26,2.592
527,2533,30,2.6784
528,3132,12,2.6784
529,4516,7,2.4192
530,3512,9,2.6784
531,4254,3,2.592
532,1886,15,2.6784
533,1130,42,2.592
534,832,66,2.6784
535,621,78,2.6784
536,504,79,2.592
537,787,48,2.6784
538,1701,26,2.592
539,1868,30,2.6784
540,1826,12,2.6784
541,2781,7,2.5056
542,3551,9,2.6784
543,2280,3,2.592
544,1553,15,2.6784
545,930,42,2.592
546,646,66,2.6784
547,525,78,2.6784
548,555,79,2.592
549,1030,48,2.6784
550,2270,26,2.592
551,3631,30,2.6784
552,4017,12,2.6784
553,8625,7,2.4192
554,3163,9,2.6784
555,3099,3,2.592
556,2362,15,2.6784
557,1340,42,2.592
558,919,66,2.6784
559,690,78,2.6784
560,612,79,2.592
561,1011,48,2.6784
562,1282,26,2.592
563,2999,30,2.6784
564,8113,12,2.6784
565,7934,7,2.4192
566,10149,9,2.6784
567,5518,3,2.592
568,2812,15,2.6784
569,1966,42,2.592
570,1345,66,2.6784
571,997,78,2.6784
572,798,79,2.592
573,1035,48,2.6784
574,1203,26,2.592
575,3207,30,2.6784
576,8420,12,2.6784
577,12850,7,2.4192
578,6633,9,2.6784
579,4456,3,2.592
580,2352,15,2.6784
581,1629,42,2.592
582,1201,66,2.6784
583,938,78,2.6784
584,963,79,2.592
585,1009,48,2.6784
586,1819,26,2.592
587,1982,30,2.6784
588,6637,12,2.6784
589,15250,7,2.5056
590,9653,9,2.6784
591,4874,3,2.592
592,2542,15,2.6784
593,1733,42,2.592
594,1349,66,2.6784
595,1065,78,2.6784
596,910,79,2.592
597,950,48,2.6784
598,1843,26,2.592
599,5927,30,2.6784
600,7377,12,2.6784
601,4519,7,2.4192
602,4796,9,2.6784
603,5990,3,2.592
604,2297,15,2.6784
605,1692,42,2.592
606,1159,66,2.6784
607,911,78,2.6784
608,754,79,2.592
609,1149,48,2.6784
610,3769,26,2.592
611,3285,30,2.6784
612,10351,12,2.6784
613,7834,7,2.4192
614,6481,9,2.6784
615,4890,3,2.592
616,2123,15,2.6784
617,1338,42,2.592
618,1021,66,2.6784
619,840,78,2.6784
620,797,79,2.592
621,954,48,2.6784
622,1197,26,2.592
623,1222,30,2.6784
624,4120,12,2.6784
625,10505,7,2.4192
626,5099,9,2.6784
627,4520,3,2.592
628,1891,15,2.6784
629,1294,42,2.592
630,958,66,2.6784
631,769,78,2.6784
632,644,79,2.592
633,853,48,2.6784
634,1519,26,2.592
635,3921,30,2.6784
636,3117,12,2.6784
637,2249,7,2.5056
638,3000,9,2.6784
639,3956,3,2.592
640,1649,15,2.6784
641,987,42,2.592
642,725,66,2.6784
643,593,78,2.6784
644,604,79,2.592
645,724,48,2.6784
646,921,26,2.592
647,1372,30,2.6784
648,5520,12,2.6784
649,6663,7,2.4192
650,5093,9,2.6784
651,4326,3,2.592
652,2327,15,2.6784
653,1363,42,2.592
654,980,66,2.6784
655,739,78,2.6784
656,597,79,2.592
657,969,48,2.6784
658,1645,26,2.592
659,4517,30,2.6784
660,8370,12,2.6784
661,5662,7,2.4192
662,4566,9,2.6784
663,3441,3,2.592
664,2046,15,2.6784
665,1189,42,2.592
666,889,66,2.6784
667,701,78,2.6784
668,618,79,2.592
669,901,48,2.6784
670,952,26,2.592
671,1447,30,2.6784
672,2165,12,2.6784
673,1977,7,2.4192
674,3963,9,2.6784
675,3320,3,2.592
676,1551,15,2.6784
677,887,42,2.592
678,635,66,2.6784
679,576,78,2.6784
680,511,79,2.592
681,609,48,2.6784
682,1139,26,2.592
683,3974,30,2.6784
684,4059,12,2.6784
685,3936,7,2.5056
686,7110,9,2.6784
687,3768,3,2.592
688,2016,15,2.6784
689,1313,42,2.592
690,867,66,2.6784
691,709,78,2.6784
692,558,79,2.592
693,781,48,2.6784
694,1569,26,2.592
695,3958,30,2.6784
696,3374,12,2.6784
697,3241,7,2.4192
698,3478,9,2.6784
699,2745,3,2.592
700,1840,15,2.6784
701,978,42,2.592
702,774,66,2.6784
703,625,78,2.6784
704,575,79,2.592
705,660,48,2.6784
706,2004,26,2.592
707,10978,30,2.6784
708,9542,12,2.6784
709,4499,7,2.4192
710,5384,9,2.6784
711,3124,3,2.592
712,1944,15,2.6784
713,1310,42,2.592
714,1041,66,2.6784
715,799,78,2.6784
716,763,79,2.592
717,729,48,2.6784
718,946,26,2.592
719,1451,30,2.6784
720,3307,12,2.6784
721,4030,7,2.4192
722,5811,9,2.6784
723,5369,3,2.592
724,2193,15,2.6784
725,1280,42,2.592
726,966,66,2.6784
727,846,78,2.6784
728,736,79,2.592
729,760,48,2.6784
730,1351,26,2.592
731,2080,30,2.6784
732,4633,12,2.6784
733,12011,7,2.5056
734,4030,9,2.6784
735,3555,3,2.592
736,2110,15,2.6784
737,1323,42,2.592
738,1104,66,2.6784
739,924,78,2.6784
740,907,79,2.592
741,1105,48,2.6784
742,1970,26,2.592
743,6064,30,2.6784
744,4520,12,2.6784
745,4573,7,2.4192
746,3457,9,2.6784
747,2604,3,2.592
748,1680,15,2.6784
749,1152,42,2.592
750,802,66,2.6784
751,665,78,2.6784
752,626,79,2.592
753,802,48,2.6784
754,736,26,2.592
755,1744,30,2.6784
756,4275,12,2.6784
757,3160,7,2.4192
758,6624,9,2.6784
759,4665,3,2.592
760,1807,15,2.6784
761,1221,42,2.592
762,939,66,2.6784
763,702,78,2.6784
764,593,79,2.592
765,567,48,2.6784
766,954,26,2.592
767,2182,30,2.6784
768,2997,12,2.6784
769,4377,7,2.4192
770,3288,9,2.6784
771,5099,3,2.592
772,3120,15,2.6784
773,1515,42,2.592
774,1016,66,2.6784
775,753,78,2.6784
776,620,79,2.592
777,678,48,2.6784
778,1087,26,2.592
779,2998,30,2.6784
780,3610,12,2.6784
781,2071,7,2.5056
782,2864,9,2.6784
783,2661,3,2.592
784,1531,15,2.6784
785,979,42,2.592
786,740,66,2.6784
787,596,78,2.6784
788,522,79,2.592
789,709,48,2.6784
790,1383,26,2.592
791,1704,30,2.6784
792,4591,12,2.6784
793,3606,7,2.4192
794,7762,9,2.6784
795,7291,3,2.592
796,3226,15,2.6784
797,1712,42,2.592
798,1197,66,2.6784
799,877,78,2.6784
800,790,79,2.592
801,842,48,2.6784
802,1026,26,2.592
803,1894,30,2.6784
804,2388,12,2.6784
805,3699,7,2.4192
806,3182,9,2.6784
807,1566,3,2.592
808,966,15,2.6784
809,664,42,2.592
810,537,66,2.6784
811,437,78,2.6784
812,409,79,2.592
813,435,48,2.6784
814,1240,26,2.592
815,2322,30,2.6784
816,2614,12,2.6784
817,1797,7,2.4192
818,3541,9,2.6784
819,1347,3,2.592
820,875,15,2.6784
821,532,42,2.592
822,416,66,2.6784
823,361,78,2.6784
824,360,79,2.592
825,411,48,2.6784
826,1614,26,2.592
827,4333,30,2.6784
828,5800,12,2.6784
829,5617,7,2.5056
830,6338,9,2.6784
831,3371,3,2.592
832,1638,15,2.6784
833,1005,42,2.592
834,742,66,2.6784
835,553,78,2.6784
836,644,79,2.592
837,515,48,2.6784
838,1729,26,2.592
839,4956,30,2.6784
840,2739,12,2.6784
841,2267,7,2.4192
842,4161,9,2.6784
843,2507,3,2.592
844,1289,15,2.6784
845,862,42,2.592
846,633,66,2.6784
847,530,78,2.6784
848,445,79,2.592
849,835,48,2.6784
850,1647,26,2.592
851,2990,30,2.6784
852,10290,12,2.6784
853,5582,7,2.4192
854,2696,9,2.6784
855,2459,3,2.592
856,1249,15,2.6784
857,809,42,2.592
858,652,66,2.6784
859,497,78,2.6784
860,517,79,2.592
861,464,48,2.6784
862,764,26,2.592
863,1399,30,2.6784
864,3365,12,2.6784
865,3322,7,2.4192
866,3621,9,2.6784
867,3961,3,2.592
868,1467,15,2.6784
869,898,42,2.592
870,597,66,2.6784
871,422,78,2.6784
872,424,79,2.592
873,451,48,2.6784
874,780,26,2.592
875,1029,30,2.6784
876,3743,12,2.6784
877,9525,7,2.5056
878,7426,9,2.6784
879,4513,3,2.592
880,1962,15,2.6784
881,1139,42,2.592
882,811,66,2.6784
883,588,78,2.6784
884,487,79,2.592
885,581,48,2.6784
886,838,26,2.592
887,1363,30,2.6784
888,2582,12,2.6784
889,4147,7,2.4192
890,6431,9,2.6784
891,3720,3,2.592
892,1897,15,2.6784
893,1014,42,2.592
894,675,66,2.6784
895,508,78,2.6784
896,382,79,2.592
897,409,48,2.6784
898,932,26,2.592
899,3995,30,2.6784
900,3598,12,2.6784
901,2180,7,2.4192
902,4020,9,2.6784
903,5021,3,2.592
904,2085,15,2.6784
905,1043,42,2.592
906,703,66,2.6784
907,526,78,2.6784
908,540,79,2.592
909,943,48,2.6784
910,1579,26,2.592
911,1972,30,2.6784
912,2498,12,2.6784
913,6385,7,2.4192
914,3287,9,2.6784
915,1673,3,2.592
916,1027,15,2.6784
917,670,42,2.592
918,518,66,2.6784
919,389,78,2.6784
920,350,79,2.592
921,368,48,2.6784
922,614,26,2.592
923,1302,30,2.6784
924,1186,12,2.6784
925,3296,7,2.5056
926,4312,9,2.6784
927,3580,3,2.592
928,1520,15,2.6784
929,770,42,2.592
930,532,66,2.6784
931,343,78,2.6784
932,281,79,2.592
933,259,48,2.6784
934,890,26,2.592
935,3539,30,2.6784
936,3050,12,2.6784
937,3264,7,2.4192
938,2631,9,2.6784
939,4033,3,2.592
940,3249,15,2.6784
941,1392,42,2.592
942,786,66,2.6784
943,535,78,2.6784
944,557,79,2.592
945,946,48,2.6784
946,2259,26,2.592
947,2804,30,2.6784
948,4497,12,2.6784
949,2512,7,2.4192
950,3287,9,2.6784
951,2799,3,2.592
952,1010,15,2.6784
953,582,42,2.592
954,474,66,2.6784
955,370,78,2.6784
956,309,79,2.592
957,469,48,2.6784
958,1353,26,2.592
959,2192,30,2.6784
960,5308,12,2.6784
961,3585,7,2.4192
962,6307,9,2.6784
963,4517,3,2.592
964,1618,15,2.6784
965,1025,42,2.592
966,746,66,2.6784
967,494,78,2.6784
968,317,79,2.592
969,683,48,2.6784
970,1475,26,2.592
971,3524,30,2.6784
972,6410,12,2.6784
973,4351,7,2.5056
974,3280,9,2.6784
975,1922,3,2.592
976,1093,15,2.6784
977,764,42,2.592
978,529,66,2.6784
979,360,78,2.6784
980,300,79,2.592
981,340,48,2.6784
982,1376,26,2.592
983,1626,30,2.6784
984,2866,12,2.6784
985,3290,7,2.4192
986,2522,9,2.6784
987,2969,3,2.592
988,1191,15,2.6784
989,890,42,2.592
990,562,66,2.6784
991,394,78,2.6784
992,303,79,2.592
993,488,48,2.6784
994,676,26,2.592
995,3392,30,2.6784
996,3107,12,2.6784
997,2858,7,2.4192
998,4550,9,2.6784
999,3651,3,2.592
1000,1613,15,2.6784
1001,924,42,2.592
1002,617,66,2.6784
1003,403,78,2.6784
1004,363,79,2.592
1005,354,48,2.6784
1006,958,26,2.592
1007,2411,30,2.6784
1008,1164,12,2.6784
1009,2097,7,2.4192
1010,2649,9,2.6784
1011,2823,3,2.592
1012,2037,15,2.6784
1013,884,42,2.592
1014,550,66,2.6784
1015,379,78,2.6784
1016,302,79,2.592
1017,334,48,2.6784
1018,477,26,2.592
1019,555,30,2.6784
1020,4182,12,2.6784
1021,2867,7,2.5056
1022,1868,9,2.6784
1023,901,3,2.592
1024,524,15,2.6784
1025,392,42,2.592
1026,285,66,2.6784
1027,286,78,2.6784
1028,267,79,2.592
1029,368,48,2.6784
1030,723,26,2.592
1031,1057,30,2.6784
1032,852,12,2.6784
1033,2091,7,2.4192
1034,1548,9,2.6784
1035,1837,3,2.592
1036,680,15,2.6784
1037,383,42,2.592
1038,279,66,2.6784
1039,228,78,2.6784
1040,194,79,2.592
1041,218,48,2.6784
1042,764,26,2.592
1043,2040,30,2.6784
1044,1497,12,2.6784
1045,4396,7,2.4192
1046,3782,9,2.6784
1047,3238,3,2.592
1048,1064,15,2.6784
1049,624,42,2.592
1050,435,66,2.6784
1051,351,78,2.6784
1052,262,79,2.592
1053,455,48,2.6784
1054,1119,26,2.592
1055,1904,30,2.6784
1056,1138,12,2.6784
1057,1352,7,2.4192
1058,2816,9,2.6784
1059,2895,3,2.592
1060,1185,15,2.6784
1061,625,42,2.592
1062,409,66,2.6784
1063,312,78,2.6784
1064,295,79,2.592
1065,333,48,2.6784
1066,502,26,2.592
1067,707,30,2.6784
1068,1783,12,2.6784
1069,3492,7,2.5056
1070,5543,9,2.6784
1071,5395,3,2.592
1072,1965,15,2.6784
1073,990,42,2.592
1074,627,66,2.6784
1075,451,78,2.6784
1076,343,79,2.592
1077,341,48,2.6784
1078,1036,26,2.592
1079,949,30,2.6784
