Início,Fim,Duração,Menor valor
Jul1931,Ago1931,2,99.66153887965993
Abr1932,Out1932,7,88.85548117857638
Mai1933,Out1933,6,91.7697352075962
Abr1934,Nov1934,8,82.02392574627521
Jun1935,Nov1935,6,94.01544602012588
Abr1936,Out1936,7,86.84749767608955
Mai1937,Out1937,6,90.77756021995836
Mai1938,Out1938,6,91.58900052390035
Mai1939,Nov1939,7,92.31669647790504
Mai1940,Out1940,6,88.86911446444236
Mai1941,Out1941,6,93.78542373753545
Mai1942,Out1942,6,92.9145487978867
Jul1943,Set1943,3,99.06257339062627
Mai1944,Out1944,6,92.01485350966213
Jul1945,Set1945,3,99.50815859365186
Jun1946,Out1946,5,98.55579493623506
Jul1947,Ago1947,2,99.57380912365394
Abr1948,Out1948,7,92.78616532949316
Jul1949,Set1949,3,99.25953237914784
Jun1950,Out1950,5,94.70079338796641
Jul1951,Nov1951,5,92.46768829992405
Abr1952,Out1952,7,97.08865910194544
Mai1953,Out1953,6,88.52429383370124
Abr1954,Nov1954,8,79.58670137916559
Abr1955,Out1955,7,79.79965396418682
Mai1956,Out1956,6,89.21156379189344
Jun1957,Out1957,5,97.58698533865842
Abr1958,Set1958,6,95.18743625640418
Abr1959,Out1959,7,83.71180570647404
Abr1960,Out1960,7,88.89521711533575
Jun1961,Nov1961,6,88.91319760364954
Mai1962,Out1962,6,90.5575343964055
Mar1963,Dez1963,10,77.70252843622157
Mar1964,Out1964,8,85.42659479015909
Jun1965,Set1965,4,95.68414435037155
Jul1966,Out1966,4,96.57476357909367
Jul1967,Out1967,4,93.03181683641914
Mai1968,Set1968,5,97.48640777022179
Abr1969,Out1969,7,87.11405495981653
Abr1970,Out1971,19,74.73079233565694
Mai1972,Set1972,5,93.2822486737017
Mai1973,Set1973,5,93.00474717548096
Mai1974,Out1974,6,93.62888081752682
Mai1975,Out1975,6,90.5103439164904
Mar1976,Out1976,8,85.8406470475504
Abr1977,Out1977,7,87.92142807948107
Jun1978,Set1978,4,96.60288890047438
Jul1980,Out1980,4,98.29602768232346
Jun1981,Set1981,4,96.81278426293937
Jul1982,Set1982,3,99.70207075174146
Mai1984,Out1984,6,94.38319523942337
Jul1985,Set1985,3,98.91621680276512
Mai1986,Nov1986,7,90.83154197274126
Mai1987,Nov1987,7,86.88728571169676
Abr1988,Out1988,7,86.43149573661937
Mar1989,Out1989,8,83.28733228443049
Mar1990,Nov1990,9,84.7005553874375
Mai1991,Out1991,6,94.52200488991659
Jun1992,Set1992,4,98.8759682357102
Jun1993,Nov1993,6,92.1322305632862
Mai1994,Nov1994,7,88.93819435213297
Mai1995,Out1995,6,86.09378566052189
Abr1996,Out1996,7,79.99363394329727
Jul1997,Out1997,4,95.46012398718572
Abr1998,Out1998,7,84.15011830612872
Abr1999,Out1999,7,78.4079776497009
Mai2000,Out2000,6,85.8998031342108
Jan2001,Fev2001,2,99.91424325608494
Mar2001,Out2001,8,73.75350646057035
Abr2002,Nov2002,8,76.12204756428561
Abr2003,Nov2003,8,77.39879945563531
Jun2004,Nov2004,6,88.34354443443657
Jun2005,Out2005,5,90.78484909015138
Mai2006,Set2006,5,92.52147157816798
Mai2007,Nov2007,7,81.25688079683509
Mai2008,Nov2008,7,85.5726436059588
Jun2009,Set2009,4,96.11653348098662
Abr2010,Out2010,7,82.08297498320832
Jun2011,Nov2011,6,88.08076948700948
Jun2012,Out2012,5,83.49793021228541
Abr2013,Nov2017,56,2.3287071333410503
