sobradinho,tucurui,itaparica,valor
57.56449841686749,36.57046199944035,30.503830817507065,500
58.260042522574345,36.4784464132934,30.808376308705228,520
58.955982949708925,36.386337599602236,31.112921799903397,540
59.65152705541572,36.2943220134553,31.417082277838347,560
60.347071161122514,36.20221319976414,31.72162776903651,580
61.024780802580445,36.11019761361718,32.025788246971466,600
61.66761415839613,36.018088799926026,32.33033373816963,620
62.31005119278406,35.92607321377909,32.62602392431399,640
62.95288454859973,35.83396440008792,32.905543553403575,660
63.59571790441541,35.74194881394097,33.18467816922997,680
64.23855126023108,35.64984000024981,33.44379209536949,700
64.88138461604676,35.557824414102875,33.686735464454244,720
65.52421797186243,35.46571560041171,33.929678833539,740
66.16705132767811,35.373700014264756,34.17262220262376,760
66.80988468349379,35.2815912005736,34.4151805584453,780
67.45271803930946,35.189575614426666,34.65812392753006,800
68.0959477165529,35.0974668007355,34.90106729661481,820
68.73878107236857,35.00545121458855,35.14401066569957,840
69.38161442818425,34.91334240089739,35.386954034784324,860
70.02484410542768,34.82123358720623,35.62989740386907,880
70.6680737826711,34.72921800105929,35.87284077295384,900
71.31090713848678,34.63710918736811,36.115784142038585,920
71.95413681573021,34.545093601221176,36.35872751112334,940
72.59736649297363,34.45298478753002,36.60167088020809,960
73.24019984878932,34.36096920138308,36.844614249292846,980
73.88342952603276,34.268860387691916,37.08755761837761,1000
74.52665920327618,34.176844801544966,37.330500987462365,1020
75.16988888051962,34.084735987853804,37.57344435654712,1040
75.81311855776303,33.99262717416264,37.81638772563187,1060
76.45674455643423,33.90061158801571,38.05933109471662,1080
77.09997423367766,33.80850277432453,38.302274463801375,1100
77.74320391092107,33.716487188177595,38.54521783288613,1120
78.38643358816451,33.62437837448643,38.78816120197089,1140
79.03005958683569,33.5323627883395,39.03110457105564,1160
79.67328926407912,33.44025397464832,39.27404794014039,1180
80.3169152627503,33.34814516095716,39.51699130922507,1200
80.96014493999374,33.25612957481022,39.75993467830964,1220
81.60377093866612,33.16402076111906,40.0028780473944,1240
82.24700061590949,33.072005174972105,40.24582141647917,1260
82.8906266145807,32.97989636128094,40.48876478556391,1280
83.53425261325192,32.88788077513401,40.73170815464867,1300
84.17787861192305,32.79577196144285,40.97465152373341,1320
84.82150461059427,32.70366314775167,41.21759489281818,1340
85.46473428783773,32.611647561604734,41.46053826190293,1360
86.10836028650887,32.51953874791357,41.70348163098768,1380
86.75198628518008,32.427523161766636,41.946425000072445,1400
87.39561228385121,32.33541434807546,42.18936836915719,1420
88.03963460395019,32.2433055343843,42.43192672497874,1440
88.68326060262142,32.15128994823736,42.6748700940635,1460
89.32688660129254,32.0591811345462,42.91781346314824,1480
89.97051259996377,31.967165548399247,43.160756832233005,1500
90.61413859863488,31.87505673470809,43.40370020131776,1520
91.25816091873384,31.782947921016923,43.6466435704025,1540
91.901786917405,31.690932334869988,43.88958693948727,1560
92.5454129160762,31.598823521178833,44.132530308572015,1580
93.1894352361752,31.506807935031876,44.37547367765678,1600
93.83306123484633,31.389061546679617,44.618417046741534,1620
94.47708355494532,31.269916745164153,44.86136041582628,1640
95.12070955361642,31.150678716104437,45.10430378491104,1660
95.76473187371542,31.031440687044725,45.34724715399581,1680
96.40835787238656,30.912202657985013,45.59019052308055,1700
97.05238019248551,30.792964628925297,45.83313389216531,1720
97.6964025125844,30.673726599865564,46.076077261250056,1740
98.34002851125564,30.55458179835008,46.31902063033481,1760
98.98405083135452,30.435343769290366,46.561963999419575,1780
99.62807315145352,30.31610574023065,46.80490736850432,1800
100.27169915012465,30.19686771117094,47.04785073758908,1820
100.91572147022364,30.0701714785734,47.29079410667383,1840
101.5597437903226,29.941517467547285,47.533737475758585,1860
102.2037661104215,29.812770228976955,47.77668084484335,1880
102.84739210909272,29.68411621795084,48.01962421392809,1900
103.4914144291916,29.555462206924727,48.26256758301285,1920
104.1354367492906,29.426808195898605,48.50551095209761,1940
104.77945906938947,29.298154184872487,48.74845432118236,1960
105.42348138948846,29.16950017384637,48.99139769026712,1980
106.0671073881596,29.040846162820248,49.23434105935186,2000
